date,amplifier_name,platform,amplifier_type,piece_title,piece_alignment,candidate_scope,relationship_type,observed_frame,reported_reach,views,likes,comments,metric_status,url
,Wally Opina,YouTube,progressive_political_influencer,La derecha está aterrada: Iván Cepeda los hizo temblar,favourable_cepeda_or_critical_de_la_espriella,Cepeda,supportive_commentary,progressive_mobilisation_and_rightwing_fear,Publicly indexed campaign-period video,,,,date_and_counts_not_reliably_retrieved,https://www.youtube.com/watch?v=9GOO9ImrbEE
,Wally Opina,YouTube,progressive_political_influencer,Iván Cepeda se para duro y sacude a Blu Radio,favourable_cepeda_or_critical_de_la_espriella,Cepeda,supportive_commentary,candidate_strength_and_media_confrontation,Publicly indexed campaign-period video,,,,date_and_counts_not_reliably_retrieved,https://www.youtube.com/watch?v=ymVvIaZ_9zE
2026-05-20,Levy Rincón,X / YouTube / Radio Nacional,progressive_political_influencer,Cuestionamientos sobre la fortuna y relaciones profesionales de De la Espriella,favourable_cepeda_or_critical_de_la_espriella,De la Espriella,critical_commentary,controversial_clients_and_campaign_finance,The intervention was reported by national digital media,,,,baseline_before_active_window,https://www.infobae.com/colombia/2026/05/20/levy-rincon-lanzo-fuertes-cuestionamientos-contra-abelardo-de-la-espriella-por-supuestos-pagos-y-apoyos-politicos-en-el-caribe-me-huele-a-extradicion/
2026-06-05,Los Danieles,YouTube / Independent media,independent_opinion_program,Especial elecciones: el voto de Los Danieles,favourable_cepeda_or_critical_de_la_espriella,AMBOS,editorial_discussion,democratic_risk_and_strategic_vote,14K views shown in public YouTube search index,14000,,,public_search_snapshot,https://www.youtube.com/watch?v=HEZ7SRNL3qg
,Daniel Mendoza / Matarife,YouTube / X,activist_documentary_creator,Caso ChuzaDAS: audiencia frente al acoso judicial de Abelardo de la Espriella,favourable_cepeda_or_critical_de_la_espriella,De la Espriella,critical_investigative_commentary,judicial_pressure_and_media_intimidation,Publicly indexed campaign-period stream,,,,date_and_counts_not_reliably_retrieved,https://www.youtube.com/watch?v=8QrvanhQ8Gk
,Noticias Uno,YouTube / Television / Digital,independent_news_amplifier,Denuncian organización de grupos de choque abelardistas,favourable_cepeda_or_critical_de_la_espriella,De la Espriella,investigative_news_report,campaign_organisation_and_political_violence,Publicly indexed report,,,,date_and_counts_not_reliably_retrieved,https://www.youtube.com/watch?v=u3k31s5cMQM
2026-06-02,Movimiento Kpopers por el Pacto Histórico,WhatsApp / Instagram / TikTok / X,networked_fandom_community,"Edits, infographics and anti-disinformation mobilisation",favourable_cepeda_or_critical_de_la_espriella,Cepeda,self_organised_support_network,youth_digital_mobilisation,"More than 5,000 members reported by El País",,,,membership_reported_by_media,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-06/un-ejercito-de-kpopers-se-organiza-en-redes-sociales-para-despertar-la-campana-presidencial-de-ivan-cepeda.html
2026-06-02,Esto es Cambio,Instagram,digital_political_media_page,Amplification of organised K-pop support,favourable_cepeda_or_critical_de_la_espriella,Cepeda,coverage_and_amplification,digital_fandom_enters_campaign,"Approximately 14,000 likes and 773 comments in public index",,14000,773,public_index_snapshot,https://www.instagram.com/p/DZGcD9iFWV_/
2026-06-18,Juanpis González,YouTube / Instagram / Facebook,satirical_character_and_interviewer,Live interview with Iván Cepeda,mixed_interview_or_informational,Cepeda,candidate_interview,humour_accessibility_and_candidate_personality,Publicly indexed interview and social promotion,,,,platform_counts_unavailable,https://www.infobae.com/colombia/2026/06/19/juanpis-gonzalez-respondio-a-quienes-lo-acusaron-de-no-invitar-a-de-la-espriella-a-su-programa-sorry-not-sorry/
2026-06-14,FucksNews — Camilo Sánchez and Camilo Pardo,YouTube / Instagram,satirical_digital_news_program,Satirical long-form interview with Iván Cepeda,mixed_interview_or_informational,Cepeda,candidate_interview,humour_violence_democracy_and_personality,"4,423 likes and 179 comments in indexed snapshot",,4423,179,public_index_snapshot,https://www.instagram.com/reel/DZnRx8RApbs/
2026-06-05,Daniel Coronell — El Reporte Coronell,YouTube / Podcast / WhatsApp,investigative_journalism_program,Nueva encuesta Atlas Intel: revelaciones y/o dudas,mixed_interview_or_informational,AMBOS,poll_methodology_analysis,scrutiny_of_poll_quality_and_campaign_narratives,165K views shown in public YouTube search index,165000,,,public_search_snapshot,https://www.youtube.com/watch?v=pSrc0dGu4T0
2026-06-01,Noticias Uno — Destino 2026,YouTube / Television,independent_election_news_program,Abelardo de la Espriella e Iván Cepeda en segunda vuelta,mixed_interview_or_informational,AMBOS,election_analysis,results_context_and_runoff_scenarios,Publicly indexed live election programme,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=Jys6u8JnXaI
