id,fecha,titulo,descripcion,tipo,fuente,fuente_url,legal_status,candidato_afectado,direccion,motif_primary,frame,emocion,dimension_impacto,region,intensidad,credibilidad,riesgo_desinformacion,canales_probables,perfiles_relevantes,resumen_para_agente,fecha_corte,source_strict,source_category,ownership_type,geographic_scope,candidate_scope,observation_role,event_cluster_id,event_cluster_size,source_class_balance_weight,model_sampling_weight,engagement_likes,engagement_reposts,engagement_comments,engagement_views,engagement_status
S009,2026-06-01,"De la Espriella acepta debate con Cepeda, pero condiciona el escenario y reconocimiento de resultados","De la Espriella acepta debate con Cepeda, pero condiciona el escenario y reconocimiento de resultados",debate_presidencial,Tropicana FM,https://www.tropicanafm.com/2026/abelardo-de-la-espriella-acepto-debate-con-ivan-cepeda-pero-le-puso-condiciones-cuales-son-467082.html,declaracion_publica,De la Espriella,positiva,debate_condicionado,control_escenario_debate,confrontacion,rendicion_cuentas,Nacional,0.72,0.8,0.18,prensa_digital|television|radio|whatsapp|facebook,todos,"De la Espriella acepta debate con Cepeda, pero condiciona el escenario y reconocimiento de resultados",2026-06-19,True,radio,privado,nacional,De la Espriella,canonical_signal,EVT-f9e26eec76,1,0.793103,0.793103,,,,,not_applicable
S059,2026-06-01,El País reporta que presidentes y líderes de ultraderecha regional celebran triunfo de De la Espriella en primera vuelta,"El País reporta reacciones internacionales de líderes de derecha, incluyendo Milei y Noboa, tras el resultado de De la Espriella.",apoyo_internacional,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-01/de-milei-a-noboa-pero-sin-trump-la-ultraderecha-global-celebra-el-triunfo-de-abelardo-de-la-espriella.html,analisis_periodistico,De la Espriella,positiva,ultraderecha_global_respaldo,internacionalizacion_derecha,validacion,apoyo_internacional,Internacional / Nacional,0.78,0.84,0.16,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,adulto_redes|profesional_urbano|pequeno_empresario|adulto_mayor_offline,Líderes y referentes de derecha internacional celebran el resultado de De la Espriella tras primera vuelta.,2026-06-19,True,otro,no_clasificado,no_clasificado,De la Espriella,canonical_signal,EVT-980ba587dc,1,0.638889,0.638889,,,,,not_applicable
S084,2026-06-01,Gustavo Bolívar habla en 6AM/W de estrategia contra De la Espriella: 'necesitamos un millón de votos por semana',"Bolívar habló en 6AM/W sobre errores de la campaña de Cepeda, estrategia para segunda vuelta y participación política del Gobierno Petro.",estrategia_campana,Caracol Radio / 6AM W,https://caracol.com.co/2026/06/01/necesitamos-un-millon-de-votos-por-semana-gustavo-bolivar-sobre-estrategia-contra-de-la-espriella/,declaracion_publica,Cepeda,positiva,bolivar_millon_votos_semana,movilizacion_urgente,urgencia,estrategia,Nacional / Pacto Histórico / Digital,0.72,0.82,0.18,radio|prensa_digital|twitter_x|whatsapp|facebook,joven_digital|movimientos_sociales|adulto_redes,"Bolívar habló en 6AM/W sobre errores de la campaña de Cepeda, estrategia para segunda vuelta y participación política del Gobierno Petro.",2026-06-19,True,radio,privado,nacional,Cepeda,canonical_signal,EVT-f1087a5bfa,1,0.793103,0.793103,,,,,not_applicable
S085,2026-06-01,María José Pizarro dice que la campaña de Cepeda tiene puertas abiertas a sectores democráticos,Caracol Radio reporta postura de Pizarro sobre conversaciones con sectores democráticos de cara a segunda vuelta.,estrategia_alianzas,Caracol Radio / 6AM W,https://caracol.com.co/2026/06/01/puertas-para-conversar-con-sectores-democraticos-estan-abiertas-pizarro-por-campana-de-ivan-cepeda/,declaracion_publica,Cepeda,positiva,alianzas_sectores_democraticos,ampliacion_coalicion,confianza,voto_centro,Nacional / Centro político,0.68,0.82,0.14,radio|prensa_digital|whatsapp|twitter_x|facebook,voto_centro|profesional_urbano|adulto_redes,Caracol Radio reporta postura de Pizarro sobre conversaciones con sectores democráticos de cara a segunda vuelta.,2026-06-19,True,radio,privado,nacional,Cepeda,canonical_signal,EVT-4184c8c5d3,1,0.793103,0.793103,,,,,not_applicable
S089,2026-06-01,Daniel Zovatto dice en NTN24 que no hay consistencia para hablar de fraude y que Colombia queda polarizada,"NTN24 entrevista a Daniel Zovatto, quien afirma que no existe consistencia para hablar de fraude y que cualquier ganador heredará un país dividido.",analisis_experto,NTN24,https://www.ntn24.com/noticias-actualidad/no-existe-consistencia-para-hablar-de-fraude-daniel-zovatto-sobre-elecciones-en-colombia-624944,analisis_experto,AMBOS,contexto,no_consistencia_fraude_polarizacion,confianza_electoral,certeza,confianza_electoral,Nacional / Internacional,0.74,0.88,0.1,television|prensa_digital|radio|twitter_x|whatsapp|facebook,todos,"NTN24 entrevista a Daniel Zovatto, quien afirma que no existe consistencia para hablar de fraude y que cualquier ganador heredará un país dividido.",2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-242c8fc620,1,0.589744,0.589744,,,,,not_applicable
S099,2026-06-01,Caracol Popayán reporta triunfo de Cepeda en Cauca y alta participación pese a alertas previas,"Caracol Radio Popayán informó que Cepeda ganó ampliamente en Cauca, con jornada de alta participación y reporte de normalidad en los 42 municipios pese a alertas de orden público.",radio_regional_resultados,Caracol Radio Popayán,https://caracol.com.co/2026/06/01/ivan-cepeda-gano-en-el-cauca-de-la-espriella-fue-segundo-en-jornada-de-alta-participacion/,hecho_reportado,Cepeda,positiva,cauca_cepeda_alta_participacion,voto_rural_pacifico,validacion,territorio_rural,Cauca / Popayán / Rural / Pacífico,0.8,0.86,0.12,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,campesino_rural|territorios_conflicto|trabajador_rebusque|adulto_mayor_offline|soldado,"Caracol Radio Popayán informó que Cepeda ganó ampliamente en Cauca, con jornada de alta participación y reporte de normalidad en los 42 municipios pese a alertas de orden público.",2026-06-19,True,radio,privado,regional,Cepeda,canonical_signal,EVT-b2ee9f26ec,1,0.793103,0.793103,,,,,not_applicable
S100,2026-06-01,"Caracol Pasto reporta triunfo de Cepeda en Nariño, tranquilidad electoral y capturas aisladas","Caracol Radio Pasto reportó parte de tranquilidad en Nariño, participación de más de 700 mil ciudadanos, triunfo de Cepeda y episodios aislados como capturas y caso de presunto integrante del ELN.",radio_regional_resultados,Caracol Radio Pasto,https://caracol.com.co/2026/06/01/en-narino-mas-de-700-mil-ciudadanos-acudieron-a-votar-en-la-primera-vuelta-presidencial/,hecho_reportado,Cepeda,positiva,narino_cepeda_tranquilidad_eln,voto_sur_pacifico_seguridad,certeza,territorio_rural,Nariño / Pasto / Frontera / Rural,0.82,0.86,0.14,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,campesino_rural|territorios_conflicto|adulto_mayor_offline|soldado|trabajador_rebusque,"Caracol Radio Pasto reportó parte de tranquilidad en Nariño, participación de más de 700 mil ciudadanos, triunfo de Cepeda y episodios aislados como capturas y caso de presunto integrante del ELN.",2026-06-19,True,radio,privado,regional,Cepeda,canonical_signal,EVT-22b9822eea,1,0.793103,0.793103,,,,,not_applicable
S101,2026-06-01,Caracol Armenia reporta triunfo de De la Espriella en 11 de 12 municipios del Quindío,Caracol Radio Armenia informó que De la Espriella ganó en 11 de los 12 municipios del Quindío y que Cepeda solo ganó en La Tebaida.,radio_regional_resultados,Caracol Radio Armenia,https://caracol.com.co/2026/06/01/lunes-1-de-junio-las-noticias-mas-importantes-de-armenia-y-quindio/,hecho_reportado,De la Espriella,positiva,quindio_de_la_espriella_municipios,voto_eje_cafetero_municipal,validacion,territorio_regional,Quindío / Armenia / Municipios cafeteros,0.78,0.84,0.12,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,campesino_rural|pequeno_empresario|adulto_redes|trabajador_rebusque|cafeteros,Caracol Radio Armenia informó que De la Espriella ganó en 11 de los 12 municipios del Quindío y que Cepeda solo ganó en La Tebaida.,2026-06-19,True,radio,privado,regional,De la Espriella,canonical_signal,EVT-814fa5fac4,1,0.793103,0.793103,,,,,not_applicable
S102,2026-06-01,Caracol Radio publica mapa departamental de primera vuelta para lectura regional,"Caracol Radio presentó cómo votaron los departamentos y qué candidato ganó en cada región, señal relevante para conversación local por radio y WhatsApp.",radio_nacional_regional,Caracol Radio,https://caracol.com.co/2026/06/01/como-votaron-los-departamentos-en-las-elecciones-2026-asi-quedo-el-mapa-politico-de-colombia/,hecho_reportado,AMBOS,contexto,mapa_departamental_radio,geografia_electoral,certeza,geografia_electoral,Nacional / Departamentos,0.72,0.86,0.1,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,todos|campesino_rural|trabajador_rebusque|adulto_mayor_offline|radioescucha,"Caracol Radio presentó cómo votaron los departamentos y qué candidato ganó en cada región, señal relevante para conversación local por radio y WhatsApp.",2026-06-19,True,radio,privado,nacional,AMBOS,canonical_signal,EVT-cbdc64eb97,1,0.793103,0.793103,,,,,not_applicable
S103,2026-06-01,Teleantioquia reporta mapa electoral departamental después de primera vuelta,Teleantioquia explicó cómo quedó dividido el mapa electoral de Colombia tras primera vuelta entre De la Espriella y Cepeda.,tv_regional_resultados,Teleantioquia,https://www.teleantioquia.co/noticias/como-votaron-los-departamentos-en-la-primera-vuelta-presidencial-asi-quedo-el-mapa-electoral-de-colombia-577612,hecho_reportado,AMBOS,contexto,teleantioquia_mapa_electoral,geografia_electoral_regional,certeza,geografia_electoral,Antioquia / Nacional / Regional,0.68,0.82,0.12,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,adulto_redes|adulto_mayor_offline|pequeno_empresario|campesino_rural,Teleantioquia explicó cómo quedó dividido el mapa electoral de Colombia tras primera vuelta entre De la Espriella y Cepeda.,2026-06-19,True,television,publico_regional,regional,AMBOS,canonical_signal,EVT-ce485dc49e,1,0.589744,0.589744,,,,,not_applicable
S104,2026-06-01,Teleantioquia analiza a qué apostarán las campañas para llegar a la Casa de Nariño,"Teleantioquia presentó lectura regional de estrategias de segunda vuelta tras primera vuelta: reposicionamiento, alianzas y movilización.",tv_regional_analisis,Teleantioquia,https://www.teleantioquia.co/noticias/a-que-le-apostaran-las-campanas-de-abelardo-de-la-espriella-e-ivan-cepeda-para-llegar-a-la-casa-de-narino-577611,analisis_periodistico,AMBOS,mixta,estrategias_regionales_segunda_vuelta,campañas_en_territorio,evaluacion,estrategia_regional,Antioquia / Nacional / Regional,0.66,0.8,0.14,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,adulto_redes|profesional_urbano|pequeno_empresario|campesino_rural,"Teleantioquia presentó lectura regional de estrategias de segunda vuelta tras primera vuelta: reposicionamiento, alianzas y movilización.",2026-06-19,True,television,publico_regional,regional,AMBOS,canonical_signal,EVT-5c1ec0a0c8,1,0.589744,0.589744,,,,,not_applicable
S108,2026-06-01,Caracol Cúcuta reporta que Fenalco Norte de Santander propone adelantar Día del Padre por segunda vuelta,Caracol Cúcuta reportó que Fenalco Norte de Santander propuso adelantar celebración del Día del Padre por ambiente mundialista y segunda vuelta presidencial.,radio_regional_economia,Caracol Radio Cúcuta,https://caracol.com.co/2026/06/02/se-anticipa-el-dia-del-padre-fenalco-propuso-adelantar-la-celebracion-al-domingo-14-de-junio/,hecho_reportado,AMBOS,contexto,fenalco_norte_santander_dia_padre,economia_comercio_segunda_vuelta,pragmatismo,economia_local,Norte de Santander / Cúcuta / Comercio regional,0.62,0.82,0.12,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,trabajador_rebusque|pequeno_empresario|comerciante|transportador|familias,Caracol Cúcuta reportó que Fenalco Norte de Santander propuso adelantar celebración del Día del Padre por ambiente mundialista y segunda vuelta presidencial.,2026-06-19,True,radio,privado,regional,AMBOS,canonical_signal,EVT-f17863462e,1,0.793103,0.793103,,,,,not_applicable
S109,2026-06-01,"Caracol Radio reporta delitos electorales y noticias criminales en Bogotá, Caquetá, Chocó, Nariño, Risaralda y Sucre",Caracol Radio informó ocho capturas y diez noticias criminales por presuntos delitos electorales durante la primera vuelta en varios departamentos.,radio_nacional_justicia,Caracol Radio,https://caracol.com.co/2026/06/01/ocho-capturas-10-noticias-criminales-por-presuntos-delitos-electorales-fiscalia/,reporte_fiscalia,AMBOS,mixta,capturas_delitos_electorales_regiones,integridad_electoral,desconfianza,justicia_electoral,Bogotá / Caquetá / Chocó / Nariño / Risaralda / Sucre,0.76,0.84,0.18,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,campesino_rural|trabajador_rebusque|adulto_redes|soldado|radioescucha,Caracol Radio informó ocho capturas y diez noticias criminales por presuntos delitos electorales durante la primera vuelta en varios departamentos.,2026-06-19,True,radio,privado,nacional,AMBOS,canonical_signal,EVT-bc9691d256,1,0.793103,0.793103,,,,,not_applicable
S010,2026-06-02,"Noticias RCN reporta que candidatos y fórmulas intensifican estrategias, reuniones políticas y propuestas económicas","Noticias RCN reporta que candidatos y fórmulas intensifican estrategias, reuniones políticas y propuestas económicas",estrategia_campana,Noticias RCN,https://www.noticiasrcn.com/colombia/en-que-andan-abelardo-de-la-espriella-ivan-cepeda-y-sus-formulas-vicepresidenciales-1027360,hecho_reportado,AMBOS,contexto,reacomodo_segunda_vuelta,estrategias_finales,urgencia,estrategia,Nacional,0.68,0.84,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,"Noticias RCN reporta que candidatos y fórmulas intensifican estrategias, reuniones políticas y propuestas económicas",2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-bf6cc3a87f,1,0.589744,0.589744,,,,,not_applicable
S011,2026-06-02,Sergio Fajardo anuncia el Decálogo del Millón y mantiene expectativa sobre apoyo de segunda vuelta,Sergio Fajardo anuncia el Decálogo del Millón y mantiene expectativa sobre apoyo de segunda vuelta,posicion_centro,Noticias RCN,https://www.noticiasrcn.com/colombia/sergio-fajardo-presentara-el-decalogo-del-millon-tras-primera-vuelta-presidencial-a-quien-apoyara-1027271,declaracion_publica,AMBOS,mixta,voto_centro_no_alineado,votante_autonomo,duda,autonomia_voto,Nacional / Antioquia / Centro,0.64,0.82,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,Sergio Fajardo anuncia el Decálogo del Millón y mantiene expectativa sobre apoyo de segunda vuelta,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-4959b8f406,1,0.589744,0.589744,,,,,not_applicable
S012,2026-06-02,La Silla reporta que Kpopers entran a campaña para impulsar a Cepeda,La Silla reporta que Kpopers entran a campaña para impulsar a Cepeda,movilizacion_digital,La Silla Vacía,https://www.lasillavacia.com/en-vivo/kpopers-entran-a-la-campana-para-impulsar-a-cepeda/,hecho_reportado,Cepeda,positiva,kpopers_con_cepeda,fandom_politico_digital,esperanza,movilizacion_juvenil,Digital / Jóvenes / Nacional,0.8,0.84,0.18,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,La Silla reporta que Kpopers entran a campaña para impulsar a Cepeda,2026-06-19,True,alternativo_investigativo,independiente,nacional,Cepeda,canonical_signal,EVT-6b456195fb,1,1.642857,1.642857,,,,,not_applicable
S013,2026-06-02,AtlasIntel reporta ventaja de De la Espriella sobre Cepeda en segunda vuelta,AtlasIntel reporta ventaja de De la Espriella sobre Cepeda en segunda vuelta,encuesta_publicada,La Silla Vacía / AtlasIntel,https://www.lasillavacia.com/en-vivo/atlas-intel-abelardo-se-impondria-por-7-puntos-en-segunda-vuelta/,encuesta_publicada_por_tercero,De la Espriella,positiva,ventaja_encuestas,momentum_ganador,confianza,efecto_ganador,Nacional,0.82,0.78,0.2,prensa_digital|television|radio|whatsapp|facebook,todos,AtlasIntel reporta ventaja de De la Espriella sobre Cepeda en segunda vuelta,2026-06-19,True,alternativo_investigativo,independiente,nacional,De la Espriella,canonical_signal,EVT-fbcd61831b,1,1.642857,1.642857,,,,,not_applicable
S014,2026-06-02,RTVC reporta respaldo de comunidad K-pop y Army Colombia a Cepeda y Aída Quilcué,RTVC reporta respaldo de comunidad K-pop y Army Colombia a Cepeda y Aída Quilcué,movilizacion_digital,RTVC Noticias,https://www.rtvcnoticias.com/politica/del-fandom-la-politica-seguidores-del-k-pop-apoyan-ivan-cepeda,hecho_reportado,Cepeda,positiva,kpop_army_movilizion_juvenil,activismo_juvenil,esperanza,movilizacion_juvenil,Digital / Jóvenes,0.76,0.78,0.18,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,RTVC reporta respaldo de comunidad K-pop y Army Colombia a Cepeda y Aída Quilcué,2026-06-19,True,medio_publico,publico,nacional,Cepeda,canonical_signal,EVT-b6c1102e78,1,4.600000,3.000000,,,,,not_applicable
S060,2026-06-02,Trump respalda públicamente a Abelardo de la Espriella rumbo a la segunda vuelta,Reuters y RCN reportan que Donald Trump expresó respaldo público a De la Espriella tras la primera vuelta.,apoyo_internacional,Reuters / Noticias RCN,https://www.reuters.com/world/americas/trump-endorses-columbian-presidential-candidate-de-la-espriella-2026-06-03/,declaracion_publica_internacional,De la Espriella,positiva,respaldo_trump,relacion_colombia_estados_unidos,validacion,apoyo_internacional,Internacional / Nacional / Exterior,0.92,0.92,0.12,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp|truth_social,exterior|adulto_redes|pequeno_empresario|profesional_urbano|adulto_mayor_offline,Trump respalda a De la Espriella y enmarca la elección como relevante para la relación Colombia-Estados Unidos.,2026-06-19,True,internacional,internacional_privado,internacional,De la Espriella,canonical_signal,EVT-7591989107,1,1.642857,1.642857,,,,,not_applicable
S069,2026-06-02,Cinco menores heridos y 200 familias confinadas por combates entre Ejército y disidencias Farc en Cauca,Infobae reporta afectación humanitaria por combates entre Ejército y disidencias de las Farc en Cauca durante el periodo electoral.,seguridad_conflicto,Infobae,https://www.infobae.com/colombia/2026/06/02/cinco-menores-heridos-y-200-familias-confinadas-por-combates-entre-ejercito-y-disidencias-farc-en-cauca/,hecho_reportado,AMBOS,mixta,combates_cauca_disidencias,conflicto_armado_territorial,miedo,territorio_rural,Cauca / Pacífico / Rural,0.88,0.82,0.18,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,campesino_rural|adulto_mayor_offline|territorios_conflicto,"Combates en Cauca refuerzan centralidad de seguridad, presencia estatal y conflicto territorial en la decisión.",2026-06-19,True,prensa_privada,privado,nacional,AMBOS,canonical_signal,EVT-10c789b778,1,0.851852,0.851852,,,,,not_applicable
S015,2026-06-03,Oviedo no expresa apoyo por ninguno de los candidatos y anuncia vigilancia de resultados,Oviedo no expresa apoyo por ninguno de los candidatos y anuncia vigilancia de resultados,posicion_centro,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/oviedo-revela-cual-sera-su-posicion-para-la-segunda-vuelta-presidencial-rg10,declaracion_publica,AMBOS,mixta,centro_vigilante_no_alineado,respeto_resultados,prudencia,autonomia_voto,Nacional / Centro,0.6,0.84,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Oviedo no expresa apoyo por ninguno de los candidatos y anuncia vigilancia de resultados,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-2d4e6d37f2,1,0.589744,0.589744,,,,,not_applicable
