agent_id,llm_final_state,social_media_post,decision_confidence,macro_region,tone_score,passive_hits,assertive_hits,confrontational_hits,exclamation_density,uppercase_ratio,tone_band
A00011,De la Espriella,"Pues yo ya tengo claro mi voto, revisé la información con cuidado y no me dejé llevar por rumores sin respaldo. Hay señales concretas que me dan confianza y eso es lo que vale a la hora de decidir.",0.72,Santanderes,0.5015384615384615,0.0,3.0,0.0,0.0,0.01282051282051282,Assertive
A00012,De la Espriella,"Mire, yo no tenía muy claro por quién votar, pero revisando la información disponible me incliné por De la Espriella. No es una decisión fácil ni con mucha certeza, pero algo hay que hacer con el voto.",0.38,Bogota_Cundinamarca,0.442972972972973,0.0,2.0,0.0,0.0,0.025,Assertive
A00013,De la Espriella,"La verdad, yo ya tengo mi decisión tomada y no me la cambia ningún rumor de última hora. Revisé bien la información y voy a votar con la cabeza fría este domingo. Que cada quien haga lo mismo.",0.83,Boyaca_Tolima_Huila,0.34805158591843843,0.0,1.0,0.0,0.0,0.019867549668874173,Calm
A00014,De la Espriella,"La verdad, vea, esto no está nada claro. Hay señales que me generan alarma con De la Espriella, pero los números de las encuestas y la información disponible me inclinan hacia ese lado, aunque sin mucha convicción. Toca votar con la cabeza fría y sin dejarse llevar solo por el ruido.",0.31,Bogota_Cundinamarca,0.32917681610088967,0.0,1.0,0.0,0.0,0.022026431718061675,Calm
A00015,Cepeda,"La verdad, uno revisa las señales con cuidado y no todo lo que circula tiene el mismo respaldo. Yo voto con convicción por Cepeda, aunque reconozco que hay incertidumbre en el ambiente. Toca decidir con la cabeza fría y no dejarse llevar por el ruido.",0.71,Antioquia_EjeCafetero,0.29042904290429045,1.0,1.0,0.0,0.0,0.019801980198019802,Calm
A00016,Cepeda,"Mire, la verdad uno no puede dejarse llevar solo por encuestas y apoyos de última hora. Yo ya tengo mi decisión tomada y voy a votar con convicción por quien creo que representa mejor a la gente de a pie. Que cada quien vote con conciencia.",0.78,Bogota_Cundinamarca,0.39797860232187565,0.0,2.0,0.0,0.0,0.015706806282722512,Calm
A00017,Cepeda,"Yo sí creo que hay que votar con la cabeza fría. La verdad, mucha de esa información que circula tiene demasiado riesgo de ser exagerada, y uno no puede dejarse llevar solo por el ruido. Ya tomé mi decisión y voy a las urnas.",0.62,Boyaca_Tolima_Huila,0.3330662557781202,0.0,1.0,0.0,0.0,0.01694915254237288,Calm
A00018,De la Espriella,"Vea, yo revisé bien la información disponible y la evidencia me convence. Voto con confianza por De la Espriella, que tiene el respaldo más sólido según lo que he podido leer. 🗳️",0.81,Bogota_Cundinamarca,0.37726835964310224,0.0,1.0,0.0,0.0,0.028368794326241134,Calm
A00019,De la Espriella,"Oiga, yo ya tenía claro mi voto y lo que he visto no me ha cambiado la mente. Hay ruido y desinformación por todos lados, pero uno aprende a separar lo que tiene peso de lo que no. Este domingo voy a votar con convicción. 🗳️",0.84,Bogota_Cundinamarca,0.33204134366925064,0.0,1.0,0.0,0.0,0.01744186046511628,Calm
A00020,De la Espriella,"Igual, revisé la información disponible y, con todo y las dudas, mi voto va para De la Espriella. Las acusaciones que circulan tienen demasiado riesgo de ser falsas como para cambiar de opinión a última hora. Sumercé, en segunda vuelta cada voto cuenta.",0.68,Bogota_Cundinamarca,0.17638850889192886,2.0,0.0,0.0,0.0,0.024509803921568627,Passive
A00021,De la Espriella,"Oiga, yo sí creo que en este momento el país necesita orden y alguien que entienda la economía del día a día. La verdad, revisé bien la información y mi decisión está clara. Voy a votar con convicción.",0.71,Bogota_Cundinamarca,0.3468520357497517,0.0,1.0,0.0,0.0,0.018867924528301886,Calm
A00022,Abstencion,"Vea, con tanta información contradictoria y sin señales claras, prefiero no votar esta vez. La incertidumbre es demasiado alta para decidir a la ligera. 🤷",0.19,Bogota_Cundinamarca,0.09253333333333333,2.0,0.0,0.0,0.0,0.016,Passive
A00023,Cepeda,"Vea, no tengo todo claro todavía, pero las alertas sobre injerencia externa y el riesgo a las instituciones me generan más desconfianza hacia una de las opciones. Con lo que hay, me inclino por Cepeda, aunque con reservas. Qué pena no poder decidir con más certeza.",0.38,Bogota_Cundinamarca,0.35818738518064913,1.0,2.0,0.0,0.0,0.018779342723004695,Calm
A00024,Cepeda,"La verdad, después de revisar bien la información, mi voto va con Cepeda sin dudas. Las señales en contra tienen demasiado riesgo de ser desinformación y eso no me cuadra. Pues, hay que votar con cabeza fría y no dejarse llevar por el miedo. 🗳️",0.85,Bogota_Cundinamarca,0.12863636363636363,3.0,0.0,0.0,0.0,0.020833333333333332,Passive
A00025,De la Espriella,"Oye, yo ya tengo claro mi voto y no me dejo enredar con rumores que huelen a campaña sucia. La verdad, lo que más me importa es que haya trabajo y tranquilidad para la familia. Mañana voy a votar con convicción.",0.74,Caribe,0.4177843079635616,0.0,2.0,0.0,0.0,0.018072289156626505,Assertive
A00026,Cepeda,"Parce, después de revisar todo lo que ha salido, mi voto está claro. Qué vaina con tanta desinformación dando vueltas, pero uno aprende a separar el ruido de lo que importa. Voy con Cepeda sin dudar.",0.67,Santanderes,0.3370464135021097,2.0,2.0,0.0,0.0,0.02531645569620253,Calm
A00027,Cepeda,"La verdad, yo voy a votar con la conciencia tranquila. He visto cómo la gente en el campo participó con fuerza y eso me dice que hay esperanza. Mi voto va por quien más ha hablado de paz y de las comunidades como la nuestra.",0.68,Pacifico,0.26045454545454544,0.0,0.0,0.0,0.0,0.017045454545454544,Calm
A00028,Cepeda,"Parce, la verdad esto no está nada claro, pero algo me dice que toca votar y no quedarse quieto. Voy con lo que más me cuadra según lo que he visto, aunque las dudas siguen ahí 🤔",0.31,Bogota_Cundinamarca,0.32418491484184914,2.0,2.0,0.0,0.0,0.014598540145985401,Calm
A00029,Cepeda,"Honestamente hay mucho ruido en esta campaña y no todo lo que circula merece la misma confianza. Igual, revisé las señales con más cuidado y mi decisión se mantiene. Hay que votar con cabeza fría.",0.55,Antioquia_EjeCafetero,0.3542133815551537,0.0,1.0,0.0,0.0,0.0189873417721519,Calm
A00030,De la Espriella,"Pues yo ya tengo claro mi voto, uno acá en el campo sabe lo que necesita el país. Hay que pensar en seguridad y en lo económico, no solo en discursos. Voy a votar convencida 🗳️",0.58,Sur_Amazonia,0.3923809523809524,1.0,2.0,0.0,0.0,0.022222222222222223,Calm
A00031,Abstencion,"Con respeto, yo sí creo que esta decisión merece más claridad de la que he podido encontrar. Las señales que recibí son contradictorias y la campaña está muy cargada de tensión. Prefiero no votar a ciegas.",0.22,Pacifico,0.20613119143239625,1.0,0.0,0.0,0.0,0.018072289156626505,Calm
A00032,Cepeda,"Vea, no es que me emocione mucho ninguno, pero las señales que vi sobre De la Espriella me generan demasiada desconfianza. Al final decidí votar por Cepeda, con los ojos bien abiertos. 🗳️",0.42,Bogota_Cundinamarca,0.28054054054054056,0.0,0.0,0.0,0.0,0.033783783783783786,Calm
A00033,Cepeda,"Pues, después de revisar bien la información disponible, mi voto va con Cepeda. Igual, hay señales con alto riesgo de desinformación que no me cuadran y no voy a dejarme llevar por eso.",0.65,Pacifico,0.2037182637182637,1.0,0.0,0.0,0.0,0.02027027027027027,Calm
A00034,Cepeda,"Hombre, honestamente la campaña ha estado muy cargada y con mucho ruido, pero yo ya tengo claro mi voto. No me mueve ni el ponderador ni los respaldos de afuera. Voy con Cepeda.",0.58,Antioquia_EjeCafetero,0.6621645021645022,0.0,4.0,0.0,0.0,0.02857142857142857,Confrontational
A00035,Cepeda,Yo tengo claro mi voto y no me lo cambia nadie. He revisado la información con cuidado y sigo convencida de que Cepeda es la mejor opción para gente como uno. 🗳️ ¡A votar!,0.78,Pacifico,0.5309090909090909,0.0,2.0,0.0,0.030303030303030304,0.030303030303030304,Assertive
A00036,Cepeda,"Oiga, después de revisar todo lo que circula, mi decisión está clara y no me mueve ni el ruido ni las encuestas de último momento. Voy a votar convencido por Cepeda. 🗳️",0.82,Bogota_Cundinamarca,0.40941639990150214,1.0,2.0,0.0,0.0,0.022900763358778626,Assertive
A00037,Abstencion,"Vea, con todo respeto, yo no me siento con ánimo de votar esta vez. Hay mucha información enredada y uno no sabe bien en qué creer, mano. Prefiero quedarme en casa antes que votar sin convicción.",0.24,Pacifico,0.15226551226551227,2.0,0.0,0.0,0.0,0.01948051948051948,Passive
A00038,Cepeda,"Pues yo ya tenía claro mi voto y no me lo cambia ningún rumor. La evidencia que revisé me da más confianza en Cepeda, ve. A votar con cabeza fría 🗳️",0.667,Antioquia_EjeCafetero,0.38914454277286137,0.0,1.0,0.0,0.0,0.035398230088495575,Calm
A00039,De la Espriella,"Revisé bien la información y mi voto va para De la Espriella. Los datos de La Silla y el respaldo que ha recibido me dan más confianza que los discursos de movilización del otro lado. Jaja, no me muevo por presión sino por evidencia.",0.69,Boyaca_Tolima_Huila,0.3578885630498534,0.0,1.0,0.0,0.0,0.03763440860215054,Calm
A00040,Abstencion,"Pues mire, uno quisiera votar con convicción, pero con tanta información enredada y tantas dudas, yo prefiero no ir a las urnas. Ve, no es desidia, es que no me cuadra nada de lo que están diciendo.",0.14,Pacifico,0.09332170880557976,3.0,0.0,0.0,0.0,0.012903225806451613,Passive
A00041,Cepeda,"Sumercé, esto no estuvo fácil de decidir con tanto ruido y tanta desinformación dando vueltas. Al final me fui por Cepeda, no con mucha convicción, pero algo es algo. Ojalá no nos defrauden 🤞",0.52,Boyaca_Tolima_Huila,0.27157894736842103,0.0,0.0,0.0,0.0,0.02631578947368421,Calm
A00042,Abstencion,"Mire, la verdad yo no puedo votar con tranquilidad cuando hay tantas alarmas sobre el proceso y ningún candidato me genera confianza real. Prefiero no tragar entero y quedarme en casa esta vez.",0.16,Boyaca_Tolima_Huila,0.1945838128116609,1.0,0.0,0.0,0.0,0.012658227848101266,Passive
A00043,Cepeda,"Vea, esa declaración de De la Espriella sobre el Ejército me pone los pelos de punta. Yo trabajo en salud y sé lo que cuesta la paz en este país. Mi voto va con Cepeda sin dudarlo.",0.72,Pacifico,0.24594594594594593,1.0,0.0,0.0,0.0,0.05,Calm
A00044,No alineado,"Vea, yo quisiera votar con convicción pero la verdad la información que me ha llegado no me aclara nada. Hay demasiado ruido y poca sustancia, eso sí. Todavía no me cuadra ninguna de las dos opciones.",0.21,Llanos_Orinoquia,0.20694444444444443,1.0,0.0,0.0,0.0,0.01875,Calm
A00045,Cepeda,"La verdad yo sí tengo claro mi voto, pues la información que vi me convence de que Cepeda es la opción. Igual, toca salir a votar y no quedarse en la casa. 🗳️",0.84,Caribe,0.47,0.0,2.0,0.0,0.0,0.025,Assertive
A00046,Cepeda,"La verdad tengo mis dudas, pero el voto en blanco en segunda vuelta no cambia nada real. Me voy con Cepeda, ojalá no defraude 🤞",0.31,Caribe,0.24303030303030304,2.0,1.0,0.0,0.0,0.030303030303030304,Calm
A00047,De la Espriella,"Pues yo ya tengo claro mi voto, la evidencia que revisé apunta a De la Espriella. No me dejo llevar solo por el ruido de redes, toca mirar los datos con cabeza fría. 🗳️",0.69,Antioquia_EjeCafetero,0.47114869626497535,0.0,2.0,0.0,0.0,0.031007751937984496,Assertive
A00048,Cepeda,"Parce, lo de De la Espriella pidiendo al Ejército que 'restablezca el orden' si no le gustan los resultados me parece una señal muy preocupante. La verdad, eso me confirma que mi voto va con Cepeda. 🗳️",0.87,Bogota_Cundinamarca,0.28585987261146495,0.0,0.0,0.0,0.0,0.03821656050955414,Calm
A00049,De la Espriella,"Eso sí, no es una decisión fácil con tanta información contradictoria. Después de revisar lo que llegó, me inclino por De la Espriella principalmente por las propuestas económicas, aunque con muchas dudas todavía. Ojalá que quien gane cumpla de verdad lo que promete.",0.38,Llanos_Orinoquia,0.08135074864606562,4.0,0.0,0.0,0.0,0.0228310502283105,Passive
A00050,De la Espriella,"Vea, uno tiene que votar con la cabeza fría y no dejarse llevar por tanto rumor que circula en redes. Yo revisé la información disponible y mi decisión está tomada con convicción. Qué vaina que la campaña esté tan cargada de desinformación, pero eso no me va a mover.",0.78,Santanderes,0.3221285523555216,0.0,1.0,0.0,0.0,0.014018691588785047,Calm
A00051,Abstencion,"Mire, yo revisé lo que me llegó y la verdad no me convence ninguno de los dos. Hay mucha información enredada y no voy a votar solo por votar cuando no tengo claridad.",0.19,Caribe,0.2581818181818182,0.0,0.0,0.0,0.0,0.015151515151515152,Calm
A00052,Cepeda,"Oye, la verdad uno ve las críticas y las presiones de todos lados, pero yo sí creo que hay que votar con convicción. He revisado lo que dicen las fuentes que me merecen más confianza y mi decisión está tomada. No me dejo llevar por el ruido.",0.65,Caribe,0.32703247480403136,0.0,1.0,0.0,0.0,0.015789473684210527,Calm
A00053,De la Espriella,"Con respeto, uno tiene que votar con la cabeza fría y no dejarse llevar por tanto ruido en redes. Yo revisé lo que pude y mi decisión está tomada, aunque reconozco que hay cosas que no me cuadraron del todo. Ojalá quien gane de verdad piense en la gente.",0.63,Pacifico,0.32321657021017364,0.0,1.0,0.0,0.0,0.014925373134328358,Calm
A00054,De la Espriella,"Oiga, uno revisa la información con cuidado y se da cuenta de que mucho de lo que circula tiene un riesgo alto de ser falso. Yo ya tomé mi decisión con la cabeza fría y voy a votar convencida. Que cada quien analice bien antes de dejarse llevar por el ruido.",0.67,Boyaca_Tolima_Huila,0.3203921568627451,0.0,1.0,0.0,0.0,0.014705882352941176,Calm
A00055,Cepeda,"Vea, compa, yo no me trago entero lo que dicen, pero esas investigaciones en salud contra De la Espriella me preocupan mucho. Con todo lo que está en juego para las instituciones, decidí votar por Cepeda. Ojalá no nos defraude.",0.52,Caribe,0.27977900552486185,0.0,0.0,0.0,0.0,0.03314917127071823,Calm
A00056,Cepeda,"La verdad no tengo todo claro, pero algo hay que decidir. Me incliné por Cepeda después de ver lo de la publicidad retirada del otro y escuchar la entrevista en radio. Jaja, ojalá no me arrepienta 🤞",0.31,Antioquia_EjeCafetero,0.3594621372965322,0.0,1.0,0.0,0.0,0.025477707006369428,Calm
A00057,Cepeda,"La verdad, revisé bien la información y mi voto sigue siendo claro. Las señales en contra tenían demasiado riesgo de ser falsas, igual no me convencieron. Voy con convicción el día de las elecciones 🗳️",0.82,Bogota_Cundinamarca,0.450595542564852,0.0,2.0,0.0,0.0,0.018633540372670808,Assertive
A00058,De la Espriella,"Yo sí creo que hay que votar con la cabeza fría y mirar bien qué dicen las encuestas y los hechos. Con respeto, mi decisión ya está tomada y no me la cambia ningún rumor sin pruebas. Vamos a las urnas con convicción.",0.76,Caribe,0.3355950752393981,0.0,1.0,0.0,0.0,0.01764705882352941,Calm
A00059,Cepeda,"La verdad, cuando uno ve investigaciones sobre redes de contratistas y al mismo tiempo acusaciones de fraude sin respaldo serio, uno se pregunta quién está jugando limpio. Yo ya sé por quién voto y no es por presión ni por campaña en redes.",0.61,Antioquia_EjeCafetero,0.28027811076480463,1.0,1.0,0.0,0.0,0.010309278350515464,Calm
A00060,Cepeda,"La verdad, uno mira las señales y la decisión no es tan difícil. Pues yo voy con Cepeda, que es la opción que más me genera confianza en este momento. Igual, lo importante es participar y no quedarse en casa. 🗳️",0.76,Pacifico,0.3494478527607362,0.0,1.0,0.0,0.0,0.024539877300613498,Calm
A00061,Cepeda,"Yo sí creo que esta elección importa demasiado para quedarse en casa. Con respeto, uno mira las propuestas y la trayectoria, y mi voto va claro. Mano, hay que salir a votar este domingo.",0.78,Pacifico,0.3586074429771909,0.0,1.0,0.0,0.0,0.02040816326530612,Calm
A00062,De la Espriella,"La verdad, después de revisar lo que llegó, voy con mi decisión. Hay ruido y fake news por todos lados, parce, pero uno tiene que votar con la cabeza fría. Hoy salgo a las urnas.",0.74,Caribe,0.3919916579770594,1.0,2.0,0.0,0.0,0.021897810218978103,Calm
A00063,Cepeda,"Mire, uno ya tiene claro por quién va a votar y no es con encuestas de última hora que uno cambia de opinión. Oiga, hay que salir a votar con convicción y no dejarse enredar con tanta información que uno no sabe si es verdad. Mi voto ya está decidido.",0.74,Llanos_Orinoquia,0.3862741116751269,0.0,2.0,0.0,0.0,0.015228426395939087,Calm
A00064,Cepeda,"Ve, ya tengo claro mi voto y no me lo cambia ninguna imagen falsa ni campaña de último momento. Igual, lo que más me importa es que haya un proyecto serio para la gente del barrio. ¡A votar con convicción! 🗳️",0.78,Pacifico,0.47250000000000003,0.0,2.0,0.0,0.025,0.01875,Assertive
A00065,Cepeda,"Vea, uno tiene que estar muy pilas con tanta imagen falsa que andan circulando. Yo ya sé por quién voy a votar y no me dejo confundir. Mi decisión está tomada y es con convicción.",0.68,Caribe,0.3569604863221884,0.0,1.0,0.0,0.0,0.02127659574468085,Calm
A00066,Cepeda,"Oiga, la decisión ya está tomada y no hay vuelta atrás. La información que revisé me confirma que hay que salir a votar por Cepeda con convicción. La verdad, no me cuadra el respaldo internacional que anda buscando el otro candidato.",0.7,Boyaca_Tolima_Huila,0.3435806953814219,0.0,1.0,0.0,0.0,0.02127659574468085,Calm
A00067,Cepeda,"La verdad, esta decisión no fue fácil con tanta información contradictoria. Vea, lo que más me preocupó fueron los ataques a la prensa y los problemas con los símbolos patrios. Al final me incliné por quien mostró más disposición al diálogo, aunque con muchas dudas todavía.",0.31,Antioquia_EjeCafetero,0.12570871514915188,3.0,0.0,0.0,0.0,0.013452914798206279,Passive
A00068,Cepeda,"Mire, la verdad no tengo todo claro, pero las señales que vi me inclinan hacia Cepeda. Con tanta información contradictoria uno tiene que mirar bien qué fuentes son más confiables y qué propuesta va más con lo que uno cree. Voy a votar, aunque sea con dudas.",0.31,Bogota_Cundinamarca,0.2462796942780417,2.0,1.0,0.0,0.0,0.019417475728155338,Calm
A00069,Voto en blanco,"Oye, con tanta imagen manipulada y declaraciones que ponen los pelos de punta, yo no puedo votar tranquila por ninguno. Voy a marcar en blanco porque mi conciencia no me da para más. Vea, esto no es apatía, es que la evidencia no alcanza.",0.31,Caribe,0.25914893617021273,0.0,0.0,0.0,0.0,0.015957446808510637,Calm
A00070,De la Espriella,"Compa, ya tengo mi decisión clara y voy con De la Espriella full convencida. Las acusaciones que circulan tienen demasiado riesgo de ser desinformación, así que no me muevo. 🗳️",0.83,Caribe,0.49473220836390314,0.0,2.0,0.0,0.0,0.028368794326241134,Assertive
A00071,Cepeda,"Sumercé, no fue una decisión fácil con tanta información contradictoria y tanta fatiga encima. Pero revisando las señales con calma, me incliné por Cepeda, aunque con muchas dudas todavía. Ojalá no nos defraude.",0.31,Bogota_Cundinamarca,0.02532142231564195,4.0,0.0,0.0,0.0,0.023121387283236993,Passive
A00072,Cepeda,"Qué vaina tan clara, yo ya sé por quién voy este domingo. La verdad, no me cambia el voto ningún rumor ni campaña de última hora. ¡A votar! 🗳️",0.95,Caribe,0.3453908355795148,0.0,0.0,0.0,0.03571428571428571,0.02830188679245283,Calm
A00073,Abstencion,"La verdad, oye, yo no le veo claridad a ninguno de los dos. Con tanta vuelta y tan poca información de fiar, prefiero no votar antes que votar a ciegas. 🤷",0.18,Caribe,0.1936723163841808,1.0,0.0,0.0,0.0,0.01694915254237288,Passive
A00074,De la Espriella,"Vea, uno ya tiene claro por quién va. He revisado lo que circula y mucho de eso tiene tufillo a desinformación. Con respeto, pero yo voto convencido por De la Espriella porque lo que más me importa es el orden y la economía de este país.",0.77,Pacifico,0.4112159962799349,0.0,2.0,0.0,0.0,0.026737967914438502,Assertive
A00075,Voto en blanco,"Parce, revisé la información disponible y ninguna candidatura me convence del todo. Con tanta desinformación dando vueltas y señales tan contradictorias, mi voto en blanco es la decisión más honesta que puedo tomar hoy. 🗳️",0.37,Santanderes,0.2531868131868132,0.0,0.0,0.0,0.0,0.01098901098901099,Calm
A00076,Cepeda,"Oiga, no es una decisión fácil con tanta información contradictoria, pero igual me toca elegir y el voto en blanco en segunda vuelta no cambia nada jurídicamente. Me voy con lo que más me cuadra según lo que leí, aunque con dudas.",0.48,Boyaca_Tolima_Huila,0.23399585921325053,2.0,1.0,0.0,0.0,0.010869565217391304,Calm
A00077,Voto en blanco,"Sumercé, yo revisé lo que pude y la verdad ninguno me convence del todo. Con tanta información falsa dando vueltas y candidatos que no llegan al centro, prefiero votar en blanco y que quede la señal. 🗳️",0.31,Boyaca_Tolima_Huila,0.19944444444444442,1.0,0.0,0.0,0.0,0.0125,Passive
A00078,Abstencion,"Mire, uno quisiera votar con la cabeza fría, pero con tanto ruido, tanta información manipulada y señales que no cuadran, prefiero no ir a las urnas esta vez. Oiga, no es desidia, es que la evidencia no me alcanza para decidir con honestidad.",0.31,Llanos_Orinoquia,0.20598837209302326,1.0,0.0,0.0,0.0,0.010416666666666666,Calm
A00079,De la Espriella,"La verdad ya tomé mi decisión y voy con De la Espriella, jaja, no me movieron con tanto show mediático. Como pequeño empresario necesito orden y resultados concretos, no promesas. ¡A votar, Floridablanca! 🗳️",0.72,Santanderes,0.5384478935698448,0.0,2.0,0.0,0.030303030303030304,0.036585365853658534,Assertive
A00080,De la Espriella,"Yo sí pienso que en tiempos difíciles lo que más necesitamos es alguien que respete las instituciones y la ley. Revisé lo que pude y me parece que hay razones para confiar en De la Espriella, aunque la duda no desaparece del todo.",0.52,Pacifico,0.2194343180389692,1.0,0.0,0.0,0.0,0.021621621621621623,Calm
A00081,De la Espriella,"Vea, después de revisar bien la información disponible, mi voto va con De la Espriella. No me convenció lo que circuló en redes sobre el otro candidato, había demasiado ruido y poca evidencia sólida. Prefiero apostar por lo que me genera más confianza institucional. 🗳️",0.72,Bogota_Cundinamarca,0.17674067867616253,2.0,0.0,0.0,0.0,0.02304147465437788,Passive
A00082,Abstencion,"Con respeto, yo no me siento lista para votar por ninguno de los dos. Hay demasiada información contradictoria y uno termina más confundido que convencido, compa. Prefiero no ir a las urnas antes que votar sin convicción.",0.22,Caribe,0.23837837837837836,2.0,1.0,0.0,0.0,0.016666666666666666,Calm
A00083,Cepeda,"Oiga, yo ya tengo claro mi voto y no me lo cambia ninguna encuesta. Qué vaina que algunos quieran desanimar a la gente con números, pero la movilización que veo en las calles me dice otra cosa. Voy a votar con convicción.",0.73,Santanderes,0.41295238095238096,0.0,2.0,0.0,0.0,0.017142857142857144,Assertive
A00084,De la Espriella,"Honestamente, después de revisar lo que se ha dicho en campaña, yo sigo convencida de mi voto. Qué vaina con tanta desinformación que circula, pero uno aprende a separar el ruido de lo que realmente importa.",0.72,Caribe,0.19881570192947437,1.0,0.0,0.0,0.0,0.011976047904191617,Passive
A00085,De la Espriella,"Parce, revisé bien la info que me llegó y aunque hay ruido por todos lados, yo sigo con mi decisión. Hay que votar con cabeza fría y no dejarse llevar por lo que no tiene respaldo claro.",0.72,Bogota_Cundinamarca,0.5158978156238431,0.0,3.0,0.0,0.0,0.0136986301369863,Assertive
A00086,De la Espriella,"Vea pues, uno revisa las noticias y hay de todo, pero las que hablan mal de De la Espriella tienen mucho cuento encima. Yo voy con mi decisión: seguridad y orden primero. 🗳️",0.6,Boyaca_Tolima_Huila,0.47582089552238804,0.0,2.0,0.0,0.0,0.029850746268656716,Assertive
A00087,Cepeda,"La verdad, después de revisar todo lo que ha circulado, mi decisión está tomada. Hay mucha desinformación suelta, pero eso no me hace dudar de para dónde va mi voto. Este 21 de junio salgo a votar con convicción.",0.83,Antioquia_EjeCafetero,0.24063411540900442,2.0,1.0,0.0,0.0,0.018072289156626505,Calm
A00088,De la Espriella,"Ajá, pues yo ya tengo claro mi voto. Con lo que he visto, De la Espriella me da más confianza pa' lo que viene. A votar tocan 🗳️",0.72,Caribe,0.5408668242710796,0.0,2.0,0.0,0.0,0.05319148936170213,Assertive
A00089,Voto en blanco,"Mire, después de revisar la información disponible, ninguna de las dos opciones me genera la confianza que necesito para votar a favor. Voy a votar en blanco, porque como lideresa comunitaria no puedo respaldar algo que no me convence. La incertidumbre también es una respuesta válida.",0.32,Boyaca_Tolima_Huila,0.16842809364548494,2.0,0.0,0.0,0.0,0.01282051282051282,Passive
A00090,De la Espriella,"Pues la verdad no estaba muy convencido, pero revisando bien las señales me fui por De la Espriella. Las propuestas económicas me parecen más concretas y las críticas en su contra tienen demasiado olor a desinformación jaja. Ojalá no defraude 🤞",0.52,Caribe,0.35,0.0,1.0,0.0,0.0,0.025,Calm
A00091,Voto en blanco,"Oiga, uno revisa la información y al final ninguno de los dos termina de convencer. Voy a votar en blanco porque no me parece serio decidir así nomás con tanta duda encima.",0.31,Santanderes,0.1948913043478261,1.0,0.0,0.0,0.0,0.014492753623188406,Passive
A00092,Abstencion,"Mire, yo he revisado lo que llegó y la verdad no me convence ninguna de las dos opciones con lo poco que hay. Con tanta incertidumbre encima, oye, prefiero no votar a hacerlo a ciegas y sin argumentos sólidos.",0.18,Caribe,0.15189372876119864,2.0,0.0,0.0,0.0,0.012048192771084338,Passive
