llm_final_state,argument_theme,normalised_argument,agents,mean_confidence,change_rate
De la Espriella,Uncertainty or insufficient evidence,"La agente tiene una posición inicial y heurística firmemente establecida en OPTION_A con una confianza de 0.9447 y una posición de prácticamente 1.0. Su orientación económica alta (0.74) y baja orientación de orden (0.13) junto con baja progresividad cultural (0.30) son consistentes con esta preferencia. Las señales negativas contra OPTION_A (S124, S161) tienen alto riesgo de desinformación (0.16 y 0.42 respectivamente) y produjeron deltas de posición mínimos, insuficientes para mover la agente de su posición consolidada.",1,0.9447,0.0
De la Espriella,Rejection of both campaigns,"El agente inició y mantuvo su posición en OPTION_B con alta confianza (0.93) a lo largo de toda la dieta informativa. Las señales directas de movilización y cierre de campaña de OPTION_B (S150, S142) reforzaron la identidad y el entusiasmo, mientras que las señales de OPTION_A generaron pequeños desplazamientos negativos de posición que no fueron suficientes para cambiar la decisión. La propensión al voto en blanco es cero y la abstención es baja.",1,0.93,0.0
De la Espriella,Rejection of both campaigns,"El agente inició y mantuvo una posición firme hacia OPTION_A con alta confianza (0.93) y movilización elevada (0.77). Las señales negativas sobre OPTION_A (S032, S172) tuvieron deltas de posición mínimos y misinformation_risk moderado-alto, mientras que señales positivas como S080 y S019 reforzaron la preferencia. La orientación económica del agente (0.81) y su perfil de orden (0.57) se alinean con el motif dominante 'militares_evangelicos_de_la_espriella'. La propensión al voto en blanco es 0.0 y la abstención es baja (0.14), confirmando intención de votar.",1,0.93,0.0
De la Espriella,Rejection of both campaigns,"El estado final tras la dieta informativa muestra una posición casi máxima hacia OPTION_A (0.9999) con alta confianza (0.93) y movilización elevada (0.74). Los motivos dominantes refuerzan esta dirección, incluyendo el análisis de dificultades de OPTION_B para conquistar el centro (S171) y el apoyo de figuras clave a OPTION_A (S087). La propensión al voto en blanco es cero y la abstención es baja.",1,0.93,0.0
De la Espriella,Security and order,"El agente partió desde OPTION_A con alta confianza (0.923) y posición casi máxima (0.9999). La señal S093 refuerza la ventaja de OPTION_A en encuestas, y la orientación hacia el orden (0.80) es coherente con el perfil del candidato. Las señales favorables a OPTION_B (S014, S077) no lograron desplazar significativamente la posición.",1,0.92,0.0
No alineado,Security and order,"La posición del agente es prácticamente neutral (-0.003) con alta incertidumbre (0.52) y fatiga moderada (0.53). Las señales más fuertes en memoria son 'seguridad_vs_paz' con baja intensidad, y los deltas de posición de todas las señales son mínimos. No hay evidencia suficiente para inclinar la decisión hacia ninguna opción.",1,0.45,0.0
No alineado,Rejection of both campaigns,"La posición del agente es prácticamente neutral (-0.003) con alta incertidumbre (0.64) y fatiga elevada (0.66). Las señales recibidas son contradictorias: algunas favorecen a OPTION_B (movilización, señales de radio) y otras a OPTION_A (respaldo internacional, defensa institucional), sin que ninguna incline claramente la balanza. La baja movilización (0.25) y la moderada propensión a la abstención (0.32) refuerzan la indecisión.",1,0.33,0.0
No alineado,Trust and credibility,"La posición del agente es prácticamente neutral (-0.00015) con alta incertidumbre (0.64) y fatiga elevada (0.68). Las señales más fuertes se contrarrestan: S169 genera alerta negativa hacia OPTION_B por injerencia extranjera, mientras S101 y S061 generan validación positiva hacia OPTION_B. La movilización es muy baja (0.11) y la confianza institucional es reducida (0.36), lo que no permite inclinar la balanza con suficiente certeza.",1,0.33,0.0
No alineado,Uncertainty or insufficient evidence,"La posición del agente es prácticamente neutral (-0.00038) con alta incertidumbre (0.65) y fatiga moderada (0.59). Las señales recibidas son débiles, contradictorias y de baja memoria motif, sin que ninguna candidatura genere convicción suficiente para inclinar la decisión.",1,0.315,0.0
No alineado,Trust and credibility,"La posición del agente es prácticamente neutral (-0.002) con alta incertidumbre (0.69) y fatiga moderada (0.58). Las señales recibidas son débiles y contradictorias: algunas favorecen a OPTION_A (S101, S025) y otras a OPTION_B (S084, S124, S169), sin que ninguna genere un delta de posición significativo. La confianza institucional es muy baja (0.22) y el escepticismo ante fuentes es alto (0.70), lo que impide que cualquier señal sea suficientemente persuasiva.",1,0.28,0.0
Voto en blanco,Rejection of both campaigns,"La agente presenta alta incertidumbre (0.77), baja movilización (0.0) y una propensión al voto en blanco activada por la señal S202 (anuncio de Robledo). Ninguno de los dos candidatos genera una posición neta clara: los deltas de posición son mínimos y contradictorios, y la fatiga informativa es alta (0.63). El motivo más fuerte en memoria es 'respuesta_denuncia_eps' seguido de 'plan_tardio_cepeda', ambos con memorias débiles. Dado que la posición final es prácticamente neutral (-0.001) y la propensión al voto en blanco (0.14) supera la confianza en cualquier candidato, el voto en blanco es la opción más coherente con el estado cognitivo.",1,0.52,1.0
Voto en blanco,Uncertainty or insufficient evidence,"El estado final del agente muestra una posición prácticamente neutral (0.0019) con alta incertidumbre (0.53) y fatiga elevada (0.76), movilización nula, y una propensión al voto en blanco (0.18) superior a la confianza en cualquiera de los candidatos. El estado heurístico es 'No alineado' y el estado inicial era 'Voto en blanco'. Las señales más fuertes incluyen desinformación activa (S174), controversia legal sobre publicidad de OPTION_A (S032), y el anuncio de voto en blanco de una figura política relevante (S202), lo que refuerza la inclinación hacia el voto en blanco.",1,0.44,1.0
Voto en blanco,Uncertainty or insufficient evidence,"La posición final del agente se ubica prácticamente en cero (0.0007), con alta incertidumbre (0.57) y una propensión al voto en blanco (0.24) superior a la de abstención (0.31), respaldada por señales que refuerzan el efecto simbólico del voto en blanco (S204) y el anuncio de figuras públicas en ese sentido (S202), en un contexto de desinformación generalizada (S174) que erosiona la confianza en ambas opciones.",1,0.41,1.0
Voto en blanco,Rejection of both campaigns,"El agente partió de una posición inicial de voto en blanco y, tras procesar la dieta informativa, su posición final es casi neutra (−0.0017) con alta incertidumbre (0.578) y fatiga moderada (0.597). La propensión al voto en blanco (0.228) supera la de abstención (0.279 es mayor, pero el estado heurístico es 'No alineado' y el inicial era voto en blanco). La señal más fuerte (S204) confirma que el voto en blanco tiene efecto simbólico pero no jurídico, lo que refuerza la decisión consciente de protestar sin abstenerse. Las señales negativas hacia ambos candidatos (S174 fake news, S175 cierres tensos, S089 polarización) no generan suficiente confianza en ninguna opción.",1,0.38,1.0
Voto en blanco,Rejection of both campaigns,"La agente partió de una posición de voto en blanco y, tras procesar la dieta informativa, su posición final es prácticamente neutral (0.0025), con alta incertidumbre (0.585) y una propensión al voto en blanco de 0.27. Ninguna señal generó un delta de posición suficientemente fuerte para inclinarla hacia OPTION_A o OPTION_B; la señal más influyente en blanco fue el anuncio de Robledo (S202), que reforzó esa propensión.",1,0.38,1.0
